statefp,cd115fp,affgeoid,id,state,fr,abr,elu2016,elu,name,percent-dem,percent-rep
37,9,5001500US3709,3709,North Carolina,Caroline du Nord,NC,R,,,,
38,0,5001500US3800,3800,North Dakota,Dakota du nord,ND,R,,,,
39,1,5001500US3901,3901,Ohio,Ohio,OH,R,,,,
39,10,5001500US3910,3910,Ohio,Ohio,OH,R,,,,
39,11,5001500US3911,3911,Ohio,Ohio,OH,D,,,,
39,12,5001500US3912,3912,Ohio,Ohio,OH,R,,,,
39,13,5001500US3913,3913,Ohio,Ohio,OH,D,,,,
39,14,5001500US3914,3914,Ohio,Ohio,OH,R,,,,
39,15,5001500US3915,3915,Ohio,Ohio,OH,R,,,,
39,16,5001500US3916,3916,Ohio,Ohio,OH,R,,,,
39,2,5001500US3902,3902,Ohio,Ohio,OH,R,,,,
39,3,5001500US3903,3903,Ohio,Ohio,OH,D,,,,
39,4,5001500US3904,3904,Ohio,Ohio,OH,R,,,,
39,5,5001500US3905,3905,Ohio,Ohio,OH,R,,,,
39,6,5001500US3906,3906,Ohio,Ohio,OH,R,,,,
39,7,5001500US3907,3907,Ohio,Ohio,OH,R,,,,
39,8,5001500US3908,3908,Ohio,Ohio,OH,R,,,,
39,9,5001500US3909,3909,Ohio,Ohio,OH,D,,,,
40,1,5001500US4001,4001,Oklahoma,Oklahoma,OK,R,,,,
40,2,5001500US4002,4002,Oklahoma,Oklahoma,OK,R,,,,
40,3,5001500US4003,4003,Oklahoma,Oklahoma,OK,R,,,,
40,4,5001500US4004,4004,Oklahoma,Oklahoma,OK,R,,,,
40,5,5001500US4005,4005,Oklahoma,Oklahoma,OK,R,,,,
41,1,5001500US4101,4101,Oregon,Oregon,OR,D,,,,
41,2,5001500US4102,4102,Oregon,Oregon,OR,R,,,,
41,3,5001500US4103,4103,Oregon,Oregon,OR,D,,,,
41,4,5001500US4104,4104,Oregon,Oregon,OR,D,,,,
41,5,5001500US4105,4105,Oregon,Oregon,OR,D,,,,
42,1,5001500US4201,4201,Pennsylvania,Pennsylvanie,PA,D,,,,
42,10,5001500US4210,4210,Pennsylvania,Pennsylvanie,PA,R,,,,
42,11,5001500US4211,4211,Pennsylvania,Pennsylvanie,PA,R,,,,
42,12,5001500US4212,4212,Pennsylvania,Pennsylvanie,PA,R,,,,
42,13,5001500US4213,4213,Pennsylvania,Pennsylvanie,PA,D,,,,
42,14,5001500US4214,4214,Pennsylvania,Pennsylvanie,PA,D,,,,
42,15,5001500US4215,4215,Pennsylvania,Pennsylvanie,PA,R,,,,
42,16,5001500US4216,4216,Pennsylvania,Pennsylvanie,PA,R,,,,
42,17,5001500US4217,4217,Pennsylvania,Pennsylvanie,PA,D,,,,
42,18,5001500US4218,4218,Pennsylvania,Pennsylvanie,PA,D,,,,
42,2,5001500US4202,4202,Pennsylvania,Pennsylvanie,PA,D,,,,
42,3,5001500US4203,4203,Pennsylvania,Pennsylvanie,PA,R,,,,
42,4,5001500US4204,4204,Pennsylvania,Pennsylvanie,PA,R,,,,
42,5,5001500US4205,4205,Pennsylvania,Pennsylvanie,PA,R,,,,
42,6,5001500US4206,4206,Pennsylvania,Pennsylvanie,PA,R,,,,
42,7,5001500US4207,4207,Pennsylvania,Pennsylvanie,PA,R,,,,
42,8,5001500US4208,4208,Pennsylvania,Pennsylvanie,PA,R,,,,
42,9,5001500US4209,4209,Pennsylvania,Pennsylvanie,PA,R,,,,
72,98,5001500US7298,7298,Puerto Rico,Porto Rico,PR,R,,,,
44,1,5001500US4401,4401,Rhode Island,Rhode Island,RI,D,,,,
44,2,5001500US4402,4402,Rhode Island,Rhode Island,RI,D,,,,
45,1,5001500US4501,4501,South Carolina,Caroline du Sud,SC,R,,,,
45,2,5001500US4502,4502,South Carolina,Caroline du Sud,SC,R,,,,
45,3,5001500US4503,4503,South Carolina,Caroline du Sud,SC,R,,,,
45,4,5001500US4504,4504,South Carolina,Caroline du Sud,SC,R,,,,
45,5,5001500US4505,4505,South Carolina,Caroline du Sud,SC,R,,,,
45,6,5001500US4506,4506,South Carolina,Caroline du Sud,SC,D,,,,
45,7,5001500US4507,4507,South Carolina,Caroline du Sud,SC,R,,,,
46,0,5001500US4600,4600,South Dakota,Dakota du Sud,SD,R,,,,
47,1,5001500US4701,4701,Tennessee,Tennessee,TN,R,,,,
47,2,5001500US4702,4702,Tennessee,Tennessee,TN,R,,,,
47,3,5001500US4703,4703,Tennessee,Tennessee,TN,R,,,,
47,4,5001500US4704,4704,Tennessee,Tennessee,TN,R,,,,
47,5,5001500US4705,4705,Tennessee,Tennessee,TN,D,,,,
47,6,5001500US4706,4706,Tennessee,Tennessee,TN,R,,,,
47,7,5001500US4707,4707,Tennessee,Tennessee,TN,R,,,,
47,8,5001500US4708,4708,Tennessee,Tennessee,TN,R,,,,
47,9,5001500US4709,4709,Tennessee,Tennessee,TN,D,,,,
48,1,5001500US4801,4801,Texas,Texas,TX,R,,,,
48,10,5001500US4810,4810,Texas,Texas,TX,R,,,,
48,11,5001500US4811,4811,Texas,Texas,TX,R,,,,
48,12,5001500US4812,4812,Texas,Texas,TX,R,,,,
48,13,5001500US4813,4813,Texas,Texas,TX,R,,,,
48,14,5001500US4814,4814,Texas,Texas,TX,R,,,,
48,15,5001500US4815,4815,Texas,Texas,TX,D,,,,
48,16,5001500US4816,4816,Texas,Texas,TX,D,,,,
48,17,5001500US4817,4817,Texas,Texas,TX,R,,,,
48,18,5001500US4818,4818,Texas,Texas,TX,D,,,,
48,19,5001500US4819,4819,Texas,Texas,TX,R,,,,
48,2,5001500US4802,4802,Texas,Texas,TX,R,,,,
48,20,5001500US4820,4820,Texas,Texas,TX,D,,,,
48,21,5001500US4821,4821,Texas,Texas,TX,R,,,,
48,22,5001500US4822,4822,Texas,Texas,TX,R,,,,
48,23,5001500US4823,4823,Texas,Texas,TX,R,,,,
48,24,5001500US4824,4824,Texas,Texas,TX,R,,,,
48,25,5001500US4825,4825,Texas,Texas,TX,R,,,,
48,26,5001500US4826,4826,Texas,Texas,TX,R,,,,
48,27,5001500US4827,4827,Texas,Texas,TX,R,,,,
48,28,5001500US4828,4828,Texas,Texas,TX,D,,,,
48,29,5001500US4829,4829,Texas,Texas,TX,D,,,,
48,3,5001500US4803,4803,Texas,Texas,TX,R,,,,
48,30,5001500US4830,4830,Texas,Texas,TX,D,,,,
48,31,5001500US4831,4831,Texas,Texas,TX,R,,,,
48,32,5001500US4832,4832,Texas,Texas,TX,R,,,,
48,33,5001500US4833,4833,Texas,Texas,TX,D,,,,
48,34,5001500US4834,4834,Texas,Texas,TX,D,,,,
48,35,5001500US4835,4835,Texas,Texas,TX,D,,,,
48,36,5001500US4836,4836,Texas,Texas,TX,R,,,,
48,4,5001500US4804,4804,Texas,Texas,TX,R,,,,
48,5,5001500US4805,4805,Texas,Texas,TX,R,,,,
48,6,5001500US4806,4806,Texas,Texas,TX,R,,,,
48,7,5001500US4807,4807,Texas,Texas,TX,R,,,,
48,8,5001500US4808,4808,Texas,Texas,TX,R,,,,
48,9,5001500US4809,4809,Texas,Texas,TX,D,,,,
49,1,5001500US4901,4901,Utah,Utah,UT,R,,,,
49,2,5001500US4902,4902,Utah,Utah,UT,R,,,,
49,3,5001500US4903,4903,Utah,Utah,UT,R,,,,
49,4,5001500US4904,4904,Utah,Utah,UT,R,,,,
50,0,5001500US5000,5000,Vermont,Vermont,VT,D,,,,
51,1,5001500US5101,5101,Virginia,Virginie,VA,R,,,,
51,10,5001500US5110,5110,Virginia,Virginie,VA,R,,,,
51,11,5001500US5111,5111,Virginia,Virginie,VA,D,,,,
51,2,5001500US5102,5102,Virginia,Virginie,VA,R,,,,
51,3,5001500US5103,5103,Virginia,Virginie,VA,D,,,,
51,4,5001500US5104,5104,Virginia,Virginie,VA,D,,,,
51,5,5001500US5105,5105,Virginia,Virginie,VA,R,,,,
51,6,5001500US5106,5106,Virginia,Virginie,VA,R,,,,
51,7,5001500US5107,5107,Virginia,Virginie,VA,R,,,,
