statefp,cd115fp,affgeoid,id,state,fr,abr,NYT,elu,name,percent_dem,percent_rep
39,2,5001500US3902,3902,Ohio,Ohio,OH,Ohio 2,R,,,
39,3,5001500US3903,3903,Ohio,Ohio,OH,Ohio 3,D,,,
39,4,5001500US3904,3904,Ohio,Ohio,OH,Ohio 4,R,,,
39,5,5001500US3905,3905,Ohio,Ohio,OH,Ohio 5,R,,,
39,6,5001500US3906,3906,Ohio,Ohio,OH,Ohio 6,R,,,
39,7,5001500US3907,3907,Ohio,Ohio,OH,Ohio 7,R,,,
39,8,5001500US3908,3908,Ohio,Ohio,OH,Ohio 8,R,,,
39,9,5001500US3909,3909,Ohio,Ohio,OH,Ohio 9,D,,,
40,1,5001500US4001,4001,Oklahoma,Oklahoma,OK,Okla. 1,,,,
40,2,5001500US4002,4002,Oklahoma,Oklahoma,OK,Okla. 2,R,,,
40,3,5001500US4003,4003,Oklahoma,Oklahoma,OK,Okla. 3,R,,,
40,4,5001500US4004,4004,Oklahoma,Oklahoma,OK,Okla. 4,R,,,
40,5,5001500US4005,4005,Oklahoma,Oklahoma,OK,Okla. 5,,,,
41,1,5001500US4101,4101,Oregon,Oregon,OR,Ore. 1,D,,,
41,2,5001500US4102,4102,Oregon,Oregon,OR,Ore. 2,R,,,
41,3,5001500US4103,4103,Oregon,Oregon,OR,Ore. 3,D,,,
41,4,5001500US4104,4104,Oregon,Oregon,OR,Ore. 4,D,,,
41,5,5001500US4105,4105,Oregon,Oregon,OR,Ore. 5,D,,,
42,1,5001500US4201,4201,Pennsylvania,Pennsylvanie,PA,Pa. 1,R,,,
42,10,5001500US4210,4210,Pennsylvania,Pennsylvanie,PA,Pa. 10,R,,,
42,11,5001500US4211,4211,Pennsylvania,Pennsylvanie,PA,Pa. 11,R,,,
42,12,5001500US4212,4212,Pennsylvania,Pennsylvanie,PA,Pa. 12,R,,,
42,13,5001500US4213,4213,Pennsylvania,Pennsylvanie,PA,Pa. 13,,,,
42,14,5001500US4214,4214,Pennsylvania,Pennsylvanie,PA,Pa. 14,RR,,,
42,15,5001500US4215,4215,Pennsylvania,Pennsylvanie,PA,Pa. 15,R,,,
42,16,5001500US4216,4216,Pennsylvania,Pennsylvanie,PA,Pa. 16,R,,,
42,17,5001500US4217,4217,Pennsylvania,Pennsylvanie,PA,Pa. 17,DD,,,
42,18,5001500US4218,4218,Pennsylvania,Pennsylvanie,PA,Pa. 18,D,,,
42,2,5001500US4202,4202,Pennsylvania,Pennsylvanie,PA,Pa. 2,D,,,
42,3,5001500US4203,4203,Pennsylvania,Pennsylvanie,PA,Pa. 3,D,,,
42,4,5001500US4204,4204,Pennsylvania,Pennsylvanie,PA,Pa. 4,,,,
42,5,5001500US4205,4205,Pennsylvania,Pennsylvanie,PA,Pa. 5,DD,,,
42,6,5001500US4206,4206,Pennsylvania,Pennsylvanie,PA,Pa. 6,DD,,,
42,7,5001500US4207,4207,Pennsylvania,Pennsylvanie,PA,Pa. 7,DD,,,
42,8,5001500US4208,4208,Pennsylvania,Pennsylvanie,PA,Pa. 8,D,,,
42,9,5001500US4209,4209,Pennsylvania,Pennsylvanie,PA,Pa. 9,,,,
44,1,5001500US4401,4401,Rhode Island,Rhode Island,RI,R.I. 1,D,,,
44,2,5001500US4402,4402,Rhode Island,Rhode Island,RI,R.I. 2,D,,,
45,1,5001500US4501,4501,South Carolina,Caroline du Sud,SC,S.C. 1,,,,
45,2,5001500US4502,4502,South Carolina,Caroline du Sud,SC,S.C. 2,R,,,
45,3,5001500US4503,4503,South Carolina,Caroline du Sud,SC,S.C. 3,R,,,
45,4,5001500US4504,4504,South Carolina,Caroline du Sud,SC,S.C. 4,,,,
45,5,5001500US4505,4505,South Carolina,Caroline du Sud,SC,S.C. 5,R,,,
45,6,5001500US4506,4506,South Carolina,Caroline du Sud,SC,S.C. 6,D,,,
45,7,5001500US4507,4507,South Carolina,Caroline du Sud,SC,S.C. 7,R,,,
46,0,5001500US4600,4600,South Dakota,Dakota du Sud,SD,S.D.,,,,
