title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
Mme,Graziella Melchior,Pas de réponse.,omc_pa719338,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719338.jpg,La République en marche,,,LREM,,Finistère,5e,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Pas de réponse
M.,Grégory Besson-Moreau,"""Si j'étais absent lors du vote, la raison est très simple : j'étais dans ma circonscription de l'Aube avec des éleveurs laitiers.""",omc_pa718876,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718876.jpg,La République en marche,,,LREM,,Aube,1ère,,,Contre,Présent,Contre,Absent(e),,,Contre
M.,Guillaume Chiche,Pas de réponse.,omc_pa722126,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722126.jpg,La République en marche,,,LREM,,Deux-Sèvres,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Guillaume Garot,Présent aux deux votes.,omc_pa333285,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333285.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Mayenne,1ère,,,Pour,Présent,Pour,Pour,PRESENT,POUR,Pour
M.,Guillaume Gouffier-Cha,Pas de réponse.,omc_pa721296,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721296.jpg,La République en marche,,,LREM,,Val-de-Marne,6e,,SIGNATAIRE,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Guillaume Kasbarian,Pas de réponse.,omc_pa719372,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719372.jpg,La République en marche,,,LREM,,Eure-et-Loir,1ère,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Pas de réponse
M.,Guillaume Larrivé,Pas de réponse.,omc_pa267785,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267785.jpg,Les Républicains,,,LR,,Yonne,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Guillaume Peltier,Pas de réponse.,omc_pa719946,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719946.jpg,Les Républicains,,,LR,,Loir-et-Cher,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Guillaume Vuilletet,"""Il n'était pas été présent lors du vote, car retenu en circonscription pour une réunion publique.""",omc_pa721262,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721262.jpg,La République en marche,,,LREM,,Val-d'Oise,2e,,,Absent(e),Absent(e),,Absent(e),,,Contre
M.,Guy Bricout,"""Appartenant à la commission développement durable et aménagement du territoire, j'ai eu l'occasion de faire connaître mon opinion. J'avais ces jours-là d'autres obligations. Le résultat du vote ne faisait pas de doute et les députés ne peuvent être toujours présents.""",omc_pa267766,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267766.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Nord,18e,,,Absent(e),Absent(e),,Absent(e),,,Pour
M.,Guy Teissier,"""En ce qui concerne mon absence au moment du vote, sachez qu'en tant que député, mon travail consiste également à être en circonscription à l'écoute des habitants, je partage donc ainsi mon temps de travail entre Marseille et l'Assemblée nationale. Je suis à l'Assemblée les mardis, mercredis voire les jeudis, et en circonscription le reste du temps. Ce choix d'être sur le terrain peut se faire au dépend de certaines séances. En effet, les amendements concernant le glyphosate ont été examinés le lundi 28 mai et le vendredi 14 septembre.""",omc_pa2796,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2796.jpg,Les Républicains,,,LR,,Bouches-du-Rhône,6e,,,Absent(e),Absent(e),,Absent(e),,,Contre
M.,Gwendal Rouillard,"""Monsieur Rouillard n'était pas présent les 28 mai et 14 septembre dernier parce qu'il était retenu par des obligations professionnelles en circonscription"", justifie l'entourage du député.",omc_pa343493,http://www2.assemblee-nationale.fr/static/tribun/15/photos/343493.jpg,La République en marche,,,LREM,,Morbihan,5e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,Hélène Vainqueur-Christophe,Pas de réponse.,omc_pa643145,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643145.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Guadeloupe,4e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Hélène Zannier,Pas de réponse.,omc_pa720318,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720318.jpg,La République en marche,,,LREM,,Moselle,7e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Hervé Berville,Pas de réponse.,omc_pa719218,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719218.jpg,La République en marche,,,LREM,,Côtes-d'Armor,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Hervé Pellois,Pas de réponse.,omc_pa607595,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607595.jpg,La République en marche,,,LREM,,Morbihan,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Hervé Saulignac,"""Premièrement, je ne suis pas membre de la commission des affaires économiques qui a examiné ce texte (je suis membre de la commission des lois) et donc je n'ai pas eu à le suivre. Deuxièmement, je n'étais pas de permanence lors du passage de ce texte en séance. Troisièmement, je ne peux anticiper le passage d'un amendement parmi des milliers et sauter dans un métro nuitamment pour aller appuyer sur le bouton. Il me faut 8 heures aller-retour pour me rendre à l'Assemblée depuis mon domicile. Seuls des députés de permanence, ou bien ceux qui suivaient ce texte pour le compte de leur groupe politique ou bien encore des députés franciliens qui peuvent se rendre à l'Assemblée au pied levé à 2 heures du matin, dans la nuit de vendredi à samedi, pouvaient ou devaient être présents.""",omc_pa340343,http://www2.assemblee-nationale.fr/static/tribun/15/photos/340343.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Ardèche,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pour
M.,Hubert Julien-Laferrière,"""J'étais signataire de l'amendement Orphelin et n'étais pas dans l'Hémicycle le 28 mai au soir car dans ma circonscription comme presque tous les lundis et je ne savais pas que l'amendement passerait ce soir-là.""",omc_pa722344,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722344.jpg,La République en marche,,,LREM,,Rhône,2e,SIGNATAIRE,SIGNATAIRE,Absent(e),Absent(e),,Pour,PRSENT,POUR,Pour
M.,Hubert Wulfranc,"""Sur les raisons de son absence, vous vous doutez que Monsieur Wulfranc a aussi des engagements en circonscription et qu'il ne peut pas toujours être à l'Assemblée nationale. De plus, la majorité parlementaire s'est arrangée à chaque fois pour faire passer la mesure en question à des horaires particulièrement tardifs au cœur de la nuit"", justifie l'entourage du député.",omc_pa722110,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722110.jpg,Gauche démocrate et républicaine,,,PCF,,Seine-Maritime,3e,,,Absent(e),Absent(e),,Absent(e),,,Pour
M.,Hugues Renson,Pas de réponse.,omc_pa721824,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721824.jpg,La République en marche,,,LREM,,Paris,13e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Huguette Bello,Pas de réponse.,omc_pa441,http://www2.assemblee-nationale.fr/static/tribun/15/photos/441.jpg,Gauche démocrate et républicaine,,,PCF,,Réunion,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Huguette Tiegna,Pas de réponse.,omc_pa720014,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720014.jpg,La République en marche,,,LREM,,Lot,2e,SIGNATAIRE,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Ian Boucard,Pas de réponse.,omc_pa721816,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721816.jpg,Les Républicains,,,LR,,Territoire de Belfort,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Isabelle Florennes,"""Le vote s'était tenu un lundi soir, très tardivement, après 1h40 du matin et je n'ai malheureusement pas pu anticiper l'intervention de ce vote durant cette plage horaire. Par ailleurs, et en complément de cette information, je tiens à consacrer les lundis et vendredis au travail en circonscription.""",omc_pa721742,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721742.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Hauts-de-Seine,4e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,Isabelle Rauch,"""Je n'étais pas présente lors du vote, car ma présence était requise en circonscription pour des rendez-vous importants.""",omc_pa720552,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720552.jpg,La République en marche,,,LREM,,Moselle,9e,,,Absent(e),Absent(e),,Absent(e),,,Contre
