title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier+AF8-scrutin+AF8-presence,premier+AF8-scrutin+AF8-vote,septembre,deuxieme+AF8-scrutin+AF8-presence,deuxieme+AF8-scrutin+AF8-vote,envoye+AF8-special
Mme,Barbara Pompili,Pas de r+AOk-ponse.,omc+AF8-pa609520,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/609520.jpg,La R+AOk-publique en marche,,,LREM,,Somme,2e,SIGNATAIRE,SIGNATAIRE,Pour,Pr+AOk-sent,Pour,Pour,PRESENT,POUR,Pas de r+AOk-ponse
M.,Bastien Lachaud,+ACI-+ACIAIg-Le 28 mai, +AOA- 2 heures du matin, je n'+AOk-tais pas dans l'H+AOk-micycle, l'avancement normal du d+AOk-bat aurait d+APs- amener ces amendements le lendemain vers 17h30 o+APk- j'avais pr+AOk-vu d'+AOo-tre pr+AOk-sent pour voter. Mon absence est donc enti+AOg-rement due +AOA- l'organisation inepte des d+AOk-bats qui vise +AOA- +AOk-puiser tout le monde, et +AOA- la d+AOk-cision du pr+AOk-sident de s+AOk-ance de faire passer d+AOk-lib+AOk-r+AOk-ment cette question au milieu de la nuit, au m+AOk-pris de l'organisation normale de nos d+AOk-bats.+ACIAIg-+ACI-,omc+AF8-pa720846,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720846.jpg,La France insoumise,,,LFI,,Seine+AC0-Saint+AC0-Denis,6e,,,Absent(e),Absent(e),,Pour,PRESENT,POUR,Pour
Mme,B+AOk-atrice Descamps,+ACI-+ACIAIg-Les amendements ont +AOk-t+AOk- discut+AOk-s vendredi 14 septembre vers 4 heures du matin +ADs- or, l'essentiel du d+AOk-bat avait d+AOk-j+AOA- eu lieu en premi+AOg-re lecture au mois de mai. Le cadre l+AOk-gislatif actuel est suffisant pour la mise en +AVM-uvre de l'engagement du pr+AOk-sident de la R+AOk-publique quant +AOA- l'interdiction du glyphosate d'ici trois ans, par un retrait des autorisations de mise sur le march+AOk- sur proposition de l'Anses.+ACIAIg-+ACI-,omc+AF8-pa720696,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720696.jpg,+ACI-UDI, Agir et Ind+AOk-pendants+ACI-,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Nord,21e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,B+AOk-atrice Piron,Pas de r+AOk-ponse.,omc+AF8-pa721844,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/721844.jpg,La R+AOk-publique en marche,,,LREM,,Yvelines,3e,,,Absent(e),Absent(e),,Contre,PRESENT,CONTRE,Pas de r+AOk-ponse
M.,Belkhir Belhaddad,Pas de r+AOk-ponse.,omc+AF8-pa720362,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720362.jpg,La R+AOk-publique en marche,,,LREM,,Moselle,1+AOg-re,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,B+AOk-n+AOk-dicte Peyrol,Pas de r+AOk-ponse.,omc+AF8-pa718736,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/718736.jpg,La R+AOk-publique en marche,,,LREM,,Allier,3e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,B+AOk-n+AOk-dicte Taurine,Pas de r+AOk-ponse.,omc+AF8-pa718860,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/718860.jpg,La France insoumise,,,LFI,,Ari+AOg-ge,1+AOg-re,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Benjamin Dirx,Pas de r+AOk-ponse.,omc+AF8-pa722382,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/722382.jpg,La R+AOk-publique en marche,,,LREM,,Sa+APQ-ne+AC0-et+AC0-Loire,1+AOg-re,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Benoit Potterie,Pas de r+AOk-ponse.,omc+AF8-pa720590,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720590.jpg,La R+AOk-publique en marche,,,LREM,,Pas+AC0-de+AC0-Calais,8e,,,Contre,Pr+AOk-sent,Contre,Absent(e),,,Pas de r+AOk-ponse
M.,Benoit Simian,Pas de r+AOk-ponse.,omc+AF8-pa719592,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/719592.jpg,La R+AOk-publique en marche,,,LREM,,Gironde,5e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,B+AOk-rang+AOg-re Abba,Pas de r+AOk-ponse.,omc+AF8-pa720242,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720242.jpg,La R+AOk-publique en marche,,,LREM,,Haute+AC0-Marne,1+AOg-re,SIGNATAIRE,SIGNATAIRE,Absent(e),Absent(e),,Contre,PRESENT,CONTRE,Pas de r+AOk-ponse
Mme,B+AOk-rang+AOg-re Couillard,Ne souhaite pas r+AOk-pondre.,omc+AF8-pa719624,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/719624.jpg,La R+AOk-publique en marche,,,LREM,,Gironde,7e,,,Absent(e),Absent(e),,Absent(e),,,Ne veut pas r+AOk-pondre
Mme,B+AOk-reng+AOg-re Poletti,Pas de r+AOk-ponse.,omc+AF8-pa267260,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/267260.jpg,Les R+AOk-publicains,,,LR,,Ardennes,1+AOg-re,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Bernard Brochand,Pas de r+AOk-ponse.,omc+AF8-pa223837,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/223837.jpg,Les R+AOk-publicains,,,LR,,Alpes+AC0-Maritimes,8e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Bernard Deflesselles,Pas de r+AOk-ponse.,omc+AF8-pa1029,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/1029.jpg,Les R+AOk-publicains,,,LR,,Bouches+AC0-du+AC0-Rh+APQ-ne,9e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Bernard Perrut,Pas de r+AOk-ponse.,omc+AF8-pa2377,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/2377.jpg,Les R+AOk-publicains,,,LR,,Rh+APQ-ne,9e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Bernard Reyn+AOg-s,Pas de r+AOk-ponse.,omc+AF8-pa330788,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/330788.jpg,Les R+AOk-publicains,,,LR,,Bouches+AC0-du+AC0-Rh+APQ-ne,15e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Bertrand Bouyx,Pas de r+AOk-ponse.,omc+AF8-pa719032,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/719032.jpg,La R+AOk-publique en marche,,,LREM,,Calvados,5e,,,Contre,Pr+AOk-sent,Contre,Absent(e),,,Pas de r+AOk-ponse
